CROYDONMAQ INDUSTRIAL LTDA
SALDO DE MAQUINAS EM ESTOQUE EM 11/09/2013   HORA: 11:16:55
S I G L A          ;DESCRICAO                                    ;  SALDO
FG13-G0216-602     ;CHURRASQUEIRA DE GAVETA 4 QUEIMADORES 1300mm ;      8
FG15-G0229-601     ;CHURRASQUEIRA DE GAVETA 4 QUEIMADORES 1500mm ;      8
FGLC-A0892-601     ;FORNO GRAND LUXO PINTADO C/PORTA INOX        ;     32
FGLC-I0893-600     ;FORNO GR INOX                                ;      1
FGSC-A0891-600     ;FORNO GRANDE PINTADO CROYDON STANDER         ;     31
FH1A-10230-651     ;FRITADOR HD CUBA 1/3 1600W 127V CERTIFICADO  ;      8
FH1A-20231-651     ;FRITADOR HD CUBA 1/3 1600W 220V CERTIFICADO  ;      9
FH1B-10234-651     ;FRITADOR HD CUBA 1/2 1600W 127V CERTIFICADO  ;     13
FH2A-10232-651     ;FRITADOR HD CUBA 1/3 (2X)1600W 127V CERTIFICA;     30
FH2B-10236-651     ;FRITADOR HD CUBA 1/2 (2X)1600W 127V CERTIFICA;      7
FH2B-20237-651     ;FRITADOR HD CUBA 1/2 (2X)3000W 220V CERTIFICA;      5
FI4CM-07JT  B1     ;FOGAO INOX 4B (CH+2QS+2QD)P/07 BR.           ;     10
FI4ZD-07JT  B2     ;FOGAO INOX 4B {4QD} P/07 C.COZ. BR           ;      4
FM1D-10     A0     ;FOGAO DE MESA 1B {1QD} P/10                  ;      2
FR4M-B6567-600     ;FRANGUEIRA INOX DE MESA 4 ESPETOS GAS - BIVOL;      1
FRG6-16753-650     ;FRANGUEIRA 6 ESPETOS GAS 127V 60HZ           ;     11
FRG6-26754-650     ;FRANGUEIRA 6 ESPETOS GAS 220V 60HZ           ;      8
GR2G-G0732-601     ;GRIDDLE 2 A GAS                              ;      1
GR5G-G00000 B5     ;GRIDDLE A GAS -                              ;      3
LAP         A0     ;FORNO PEQ. INOX                              ;      4
LB          A1     ;FORNO GR PINTADO C/PORTA INOX                ;      8
LBP         A1     ;FORNO PEQ. PINTADO C/PORTA ACO INOX          ;      4
LC06-B6755-650     ;TRITURADOR 06L CROYDON BIVOLT 60HZ           ;     12
LC08-B6996-650     ;TRITURADOR 08L CROYDON BIVOLT 60HZ           ;      8
LD02-B6757-650     ;TRITURADOR 2L 1/2 CV BIVOLT 60HZ IDEALI      ;     29
LD04-B6758-650     ;TRITURADOR 4L 1/2 CV BIVOLT 60HZ IDEALI VERME;     14
LD08-B6760-650     ;TRITURADOR 8L 1/2 CV BIVOLT 60HZ IDEALI VERME;     17
LD10-B6995-650     ;TRITURADOR 10L 1/2 CV BIVOLT 60HZ IDEALI VERM;     14
LR02-B6756-650     ;TRITURADOR 02L CROYDON BIVOLT 60HZ           ;     18
LR04-B6997-650     ;TRITURADOR 04L CROYDON BIVOLT 60HZ           ;     29
MCFR-G0791 600     ;MESA DE CORTE FRANGUEIRA                     ;      2
MCSS-10542-650     ;MAQ. CASQUINHA SORVETE SIMPLES 1550W 127V CER;     11
MCSS-10542-651     ;MAQ. CASQ. SORVETE SIMPLES 1550W 127V CERT.  ;      7
